City,Nickname,Team,Year,Price,Price per Ounce,Size
Arizona,Diamondbacks,Arizona Diamondbacks,2013,4,0.285714286,14
Atlanta,Braves,Atlanta Braves,2013,7.25,0.453125,16
Baltimore,Orioles,Baltimore Orioles,2013,6.75,0.375,18
Boston,Red Sox,Boston Red Sox,2013,7.25,0.604166667,12
Chicago,Cubs,Chicago Cubs,2013,7.25,0.453125,16
Chicago,White Sox,Chicago White Sox,2013,6.5,0.40625,16
Cincinnati,Reds,Cincinnati Reds,2013,5.5,0.458333333,12
Cleveland,Indians,Cleveland Indians,2013,4,0.333333333,12
Colorado,Rockies,Colorado Rockies,2013,6,0.375,16
Detroit,Tigers,Detroit Tigers,2013,5,0.416666667,12
Houston,Astros,Houston Astros,2013,5,0.357142857,14
Kansas City,Royals,Kansas City Royals,2013,6.5,0.40625,16
Anaheim,Angels,Los Angeles Angels,2013,4.5,0.28125,16
Los Angeles,Dodgers,Los Angeles Dodgers,2013,6.25,0.390625,16
Miami,Marlins,Miami Marlins,2013,8,0.4,20
Milwaukee,Brewers,Milwaukee Brewers,2013,6,0.375,16
Minnesota,Twins,Minnesota Twins,2013,7.5,0.375,20
New York,Mets,New York Mets,2013,5.75,0.479166667,12
New York,Yankees,New York Yankees,2013,6,0.5,12
Oakland,Athletics,Oakland Athletics,2013,5,0.357142857,14
Philadelphia,Phillies,Philadelphia Phillies,2013,7.75,0.369047619,21
Pittsburgh,Pirates,Pittsburgh Pirates,2013,5.5,0.34375,16
San Diego,Padres,San Diego Padres,2013,5,0.357142857,14
San Francisco,Giants,San Francisco Giants,2013,6.75,0.421875,16
Seattle,Mariners,Seattle Mariners,2013,5.5,0.458333333,12
St. Louis,Cardinals,St. Louis Cardinals,2013,6.75,0.5625,12
Tampa,Rays,Tampa Bay Rays,2013,5,0.416666667,12
Arlington,Rangers,Texas Rangers,2013,5,0.3125,16
Toronto,Blue Jays,Toronto Blue Jays,2013,7.34,0.524285714,14
Washington,Nationals,Washington Nationals,2013,8.25,0.515625,16
,MLB Average,MLB Average,2013,6.094666667,0.407216036,14.966666667
Arizona,Diamondbacks,Arizona Diamondbacks,2014,4,0.285714286,14
Atlanta,Braves,Atlanta Braves,2014,7.25,0.453125,16
Baltimore,Orioles,Baltimore Orioles,2014,6.75,0.421875,16
Boston,Red Sox,Boston Red Sox,2014,7.75,0.645833333,12
Chicago,Cubs,Chicago Cubs,2014,7.5,0.46875,16
Chicago,White Sox,Chicago White Sox,2014,6.5,0.40625,16
Cincinnati,Reds,Cincinnati Reds,2014,5.5,0.458333333,12
Cleveland,Indians,Cleveland Indians,2014,4,0.333333333,12
Colorado,Rockies,Colorado Rockies,2014,6,0.375,16
Detroit,Tigers,Detroit Tigers,2014,5,0.416666667,12
Houston,Astros,Houston Astros,2014,5,0.357142857,14
Kansas City,Royals,Kansas City Royals,2014,6.5,0.40625,16
Anaheim,Angels,Los Angeles Angels,2014,4.5,0.28125,16
Los Angeles,Dodgers,Los Angeles Dodgers,2014,6.75,0.3375,20
Miami,Marlins,Miami Marlins,2014,8,0.5,16
Milwaukee,Brewers,Milwaukee Brewers,2014,6,0.375,16
Minnesota,Twins,Minnesota Twins,2014,7.5,0.375,20
New York,Mets,New York Mets,2014,5.75,0.479166667,12
New York,Yankees,New York Yankees,2014,6,0.5,12
Oakland,Athletics,Oakland Athletics,2014,5,0.416666667,12
Philadelphia,Phillies,Philadelphia Phillies,2014,7.75,0.369047619,21
Pittsburgh,Pirates,Pittsburgh Pirates,2014,5.5,0.34375,16
San Diego,Padres,San Diego Padres,2014,5,0.357142857,14
San Francisco,Giants,San Francisco Giants,2014,7,0.5,14
Seattle,Mariners,Seattle Mariners,2014,6,0.5,12
St. Louis,Cardinals,St. Louis Cardinals,2014,6.75,0.5625,12
Tampa,Rays,Tampa Bay Rays,2014,5,0.416666667,12
Arlington,Rangers,Texas Rangers,2014,5,0.3125,16
Toronto,Blue Jays,Toronto Blue Jays,2014,6.82,0.487142857,14
Washington,Nationals,Washington Nationals,2014,6.5,0.40625,16
,MLB Average,MLB Average,2014,6.085666667,0.412121896,14.766666667
Arizona,Diamondbacks,Arizona Diamondbacks,2015,4,0.285714286,14
Atlanta,Braves,Atlanta Braves,2015,7.25,0.453125,16
Baltimore,Orioles,Baltimore Orioles,2015,6.75,0.421875,16
Boston,Red Sox,Boston Red Sox,2015,7.75,0.645833333,12
Chicago,Cubs,Chicago Cubs,2015,7.5,0.46875,16
Chicago,White Sox,Chicago White Sox,2015,6.5,0.40625,16
Cincinnati,Reds,Cincinnati Reds,2015,5.5,0.458333333,12
Cleveland,Indians,Cleveland Indians,2015,4,0.333333333,12
Colorado,Rockies,Colorado Rockies,2015,6,0.375,16
Detroit,Tigers,Detroit Tigers,2015,5,0.416666667,12
Houston,Astros,Houston Astros,2015,5,0.357142857,14
Kansas City,Royals,Kansas City Royals,2015,6.5,0.40625,16
Anaheim,Angels,Los Angeles Angels,2015,4.5,0.28125,16
Los Angeles,Dodgers,Los Angeles Dodgers,2015,6.75,0.3375,20
Miami,Marlins,Miami Marlins,2015,8,0.5,16
Milwaukee,Brewers,Milwaukee Brewers,2015,6,0.375,16
Minnesota,Twins,Minnesota Twins,2015,7.5,0.375,20
New York,Mets,New York Mets,2015,5.75,0.479166667,12
New York,Yankees,New York Yankees,2015,6,0.5,12
Oakland,Athletics,Oakland Athletics,2015,5,0.416666667,12
Philadelphia,Phillies,Philadelphia Phillies,2015,7.75,0.369047619,21
Pittsburgh,Pirates,Pittsburgh Pirates,2015,5.5,0.34375,16
San Diego,Padres,San Diego Padres,2015,5,0.357142857,14
San Francisco,Giants,San Francisco Giants,2015,7,0.5,14
Seattle,Mariners,Seattle Mariners,2015,6,0.5,12
St. Louis,Cardinals,St. Louis Cardinals,2015,6.75,0.5625,12
Tampa,Rays,Tampa Bay Rays,2015,5,0.416666667,12
Arlington,Rangers,Texas Rangers,2015,5,0.3125,16
Toronto,Blue Jays,Toronto Blue Jays,2015,6.82,0.487142857,14
Washington,Nationals,Washington Nationals,2015,6.5,0.40625,16
,MLB Average,MLB Average,2015,5.98,0.398666667,15
Arizona,Diamondbacks,Arizona Diamondbacks,2016,4,0.285714286,14
Atlanta,Braves,Atlanta Braves,2016,7.75,0.484375,16
Baltimore,Orioles,Baltimore Orioles,2016,6.75,0.421875,16
Boston,Red Sox,Boston Red Sox,2016,7.75,0.645833333,12
Chicago,Cubs,Chicago Cubs,2016,7.5,0.46875,16
Chicago,White Sox,Chicago White Sox,2016,6.5,0.40625,16
Cincinnati,Reds,Cincinnati Reds,2016,5.25,0.375,14
Cleveland,Indians,Cleveland Indians,2016,4,0.333333333,12
Colorado,Rockies,Colorado Rockies,2016,3,0.25,12
Detroit,Tigers,Detroit Tigers,2016,5,0.416666667,12
Houston,Astros,Houston Astros,2016,5,0.357142857,14
Kansas City,Royals,Kansas City Royals,2016,6.5,0.40625,16
Anaheim,Angels,Los Angeles Angels,2016,4.5,0.28125,16
Los Angeles,Dodgers,Los Angeles Dodgers,2016,6.25,0.3125,20
Miami,Marlins,Miami Marlins,2016,6,0.5,12
Milwaukee,Brewers,Milwaukee Brewers,2016,6,0.375,16
Minnesota,Twins,Minnesota Twins,2016,7.5,0.375,20
New York,Mets,New York Mets,2016,5.75,0.479166667,12
New York,Yankees,New York Yankees,2016,6,0.5,12
Oakland,Athletics,Oakland Athletics,2016,5,0.416666667,12
Philadelphia,Phillies,Philadelphia Phillies,2016,7.75,0.369047619,21
Pittsburgh,Pirates,Pittsburgh Pirates,2016,5.5,0.34375,16
San Diego,Padres,San Diego Padres,2016,5,0.357142857,14
San Francisco,Giants,San Francisco Giants,2016,7.5,0.535714286,14
Seattle,Mariners,Seattle Mariners,2016,6,0.375,16
St. Louis,Cardinals,St. Louis Cardinals,2016,5,0.416666667,12
Tampa,Rays,Tampa Bay Rays,2016,5,0.416666667,12
Arlington,Rangers,Texas Rangers,2016,6,0.375,16
Toronto,Blue Jays,Toronto Blue Jays,2016,6.79,0.485,14
Washington,Nationals,Washington Nationals,2016,6.5,0.40625,16
,MLB Average,MLB Average,2016,5.901333333,0.401451247,14.7
Arizona,Diamondbacks,Arizona Diamondbacks,2018,4,0.285714286,14
Atlanta,Braves,Atlanta Braves,2018,5,0.416666667,12
Baltimore,Orioles,Baltimore Orioles,2018,4,0.333333333,12
Boston,Red Sox,Boston Red Sox,2018,8,0.666666667,12
Chicago,Cubs,Chicago Cubs,2018,9,0.45,20
Chicago,White Sox,Chicago White Sox,2018,7,0.4375,16
Cincinnati,Reds,Cincinnati Reds,2018,6.25,0.446428571,14
Cleveland,Indians,Cleveland Indians,2018,5,0.416666667,12
Colorado,Rockies,Colorado Rockies,2018,3,0.25,12
Detroit,Tigers,Detroit Tigers,2018,5,0.416666667,12
Houston,Astros,Houston Astros,2018,6,0.428571429,14
Kansas City,Royals,Kansas City Royals,2018,4,0.333333333,12
Anaheim,Angels,Los Angeles Angels,2018,4.5,0.375,12
Los Angeles,Dodgers,Los Angeles Dodgers,2018,6.25,0.390625,16
Miami,Marlins,Miami Marlins,2018,6,0.5,12
Milwaukee,Brewers,Milwaukee Brewers,2018,7,0.4375,16
Minnesota,Twins,Minnesota Twins,2018,8.5,0.425,20
New York,Mets,New York Mets,2018,10.5,0.525,20
New York,Yankees,New York Yankees,2018,6,0.5,12
Oakland,Athletics,Oakland Athletics,2018,5.5,0.458333333,12
Philadelphia,Phillies,Philadelphia Phillies,2018,6,0.5,12
Pittsburgh,Pirates,Pittsburgh Pirates,2018,6,0.375,16
San Diego,Padres,San Diego Padres,2018,5,0.416666667,12
San Francisco,Giants,San Francisco Giants,2018,8.25,0.589285714,14
Seattle,Mariners,Seattle Mariners,2018,5,0.416666667,12
St. Louis,Cardinals,St. Louis Cardinals,2018,5,0.416666667,12
Tampa,Rays,Tampa Bay Rays,2018,5,0.416666667,12
Arlington,Rangers,Texas Rangers,2018,6,0.375,16
Toronto,Blue Jays,Toronto Blue Jays,2018,5.67,0.405,14
Washington,Nationals,Washington Nationals,2018,7,0.5,14
,MLB Average,MLB Average,2018,5.98,0.427142857,14
