Company Name,Company Name (Full),Growth Group,Segment,Ticker,Year,Year Founded,Net Income (2008),Revenue (2008),Revenue (Inflation Adjusted)
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1993,1993,13.58,130.99,0
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1993,1993,55.98,455.7,0
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1994,1993,13.58,130.99,
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1994,1993,55.98,455.7,0.6535
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1995,1993,13.58,130.99,0.0308
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1995,1993,55.98,455.7,0.8246
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1996,1993,13.58,130.99,0.8854
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1996,1993,55.98,455.7,2.8016
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1997,1993,13.58,130.99,12.7541
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1997,1993,55.98,455.7,16.214
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1998,1993,13.58,130.99,28.871
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1998,1993,55.98,455.7,38.016
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1999,1993,13.58,130.99,59.8797
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1999,1993,55.98,455.7,79.872
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,2002,1993,13.58,130.99,129.948
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1989,1989,41.77,360.39,0
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1990,1989,41.77,360.39,
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1991,1989,41.77,360.39,
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1992,1989,41.77,360.39,
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1993,1989,41.77,360.39,6.0299
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1994,1989,41.77,360.39,7.1214
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1995,1989,41.77,360.39,13.6878
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1996,1989,41.77,360.39,30.7401
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1997,1989,41.77,360.39,71.7664
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1998,1989,41.77,360.39,140.448
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1985,1985,79.7,1070.33,0
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1986,1985,79.7,1070.33,
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1987,1985,79.7,1070.33,
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1988,1985,79.7,1070.33,5.76
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1989,1985,79.7,1070.33,18.92
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1990,1985,79.7,1070.33,41.402
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1991,1985,79.7,1070.33,69.732
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1992,1985,79.7,1070.33,131.784
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1992,1992,-30.07,868.46,0
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1993,1992,-30.07,868.46,
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1994,1992,-30.07,868.46,
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1995,1992,-30.07,868.46,
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1996,1992,-30.07,868.46,2.0373
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1997,1992,-30.07,868.46,5.8719
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1998,1992,-30.07,868.46,15.6803
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1999,1992,-30.07,868.46,25.0458
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,2000,1992,-30.07,868.46,64.232
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1991,1991,53.01,725.53,0.3058
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1994,1994,63.6,394.23,0
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1992,1991,53.01,725.53,2.584
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1995,1994,63.6,394.23,
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1993,1991,53.01,725.53,2.352
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1996,1994,63.6,394.23,0.1292
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1994,1991,53.01,725.53,3.289
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1997,1994,63.6,394.23,0.5628
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1995,1991,53.01,725.53,4.76
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1998,1994,63.6,394.23,4.488
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1996,1991,53.01,725.53,13.6
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1999,1994,63.6,394.23,18.56
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1997,1991,53.01,725.53,30.284
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,2000,1994,63.6,394.23,38.564
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1998,1991,53.01,725.53,59.796
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,2001,1994,63.6,394.23,70.516
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1999,1991,53.01,725.53,118.4
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1991,1991,3.8,164.64,0
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,1999,1999,-4.49,61.27,0
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1992,1991,3.8,164.64,
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,2000,1999,-4.49,61.27,
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1993,1991,3.8,164.64,
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,2001,1999,-4.49,61.27,
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1994,1991,3.8,164.64,1.0768
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,2002,1999,-4.49,61.27,
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1995,1991,3.8,164.64,1.1172
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,2003,1999,-4.49,61.27,9.492
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1996,1991,3.8,164.64,5.3067
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,2004,1999,-4.49,61.27,10.622
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1997,1991,3.8,164.64,8.6524
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,2005,1999,-4.49,61.27,21.255
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1998,1991,3.8,164.64,16.0208
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,2006,1999,-4.49,61.27,34.775
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1999,1991,3.8,164.64,40.96
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,2007,1999,-4.49,61.27,45.24
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,2000,1991,3.8,164.64,202.492
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,2008,1999,-4.49,61.27,61.3
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,1996,1996,-44.77,295.61,0
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,1997,1996,-44.77,295.61,
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,1998,1996,-44.77,295.61,
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,1999,1996,-44.77,295.61,
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,2000,1996,-44.77,295.61,
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,2001,1996,-44.77,295.61,2.257
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,2002,1996,-44.77,295.61,4.403
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,2003,1996,-44.77,295.61,9.831
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,2004,1996,-44.77,295.61,23.278
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,2005,1996,-44.77,295.61,46.652
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,2006,1996,-44.77,295.61,85.386
Omniture,"Omniture, Inc.",Hot Company,CRM,OMTR,2007,1996,-44.77,295.61,148.824
Netezza,Netezza Corporation,Hot Company,Database,NZ,2000,2000,-0.86,126.69,0
Netezza,Netezza Corporation,Hot Company,Database,NZ,2001,2000,-0.86,126.69,
Netezza,Netezza Corporation,Hot Company,Database,NZ,2002,2000,-0.86,126.69,
Netezza,Netezza Corporation,Hot Company,Database,NZ,2003,2000,-0.86,126.69,
Netezza,Netezza Corporation,Hot Company,Database,NZ,2004,2000,-0.86,126.69,15.368
Netezza,Netezza Corporation,Hot Company,Database,NZ,2005,2000,-0.86,126.69,33.6897
Netezza,Netezza Corporation,Hot Company,Database,NZ,2006,2000,-0.86,126.69,48.6936
Netezza,Netezza Corporation,Hot Company,Database,NZ,2007,2000,-0.86,126.69,67.2173
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1977,1977,5521,22430,0
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1978,1977,5521,22430,
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1979,1977,5521,22430,
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1980,1977,5521,22430,1.548
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1981,1977,5521,22430,2.808
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1982,1977,5521,22430,5.28
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1983,1977,5521,22430,10.65
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1984,1977,5521,22430,26.035
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1985,1977,5521,22430,45.936
Oracle,Oracle Corporation,Hot Company,Database,ORCL,1986,1977,5521,22430,107.476
DivX,"DivX, Inc.",Hot Company,Entertainment,DIVX,2000,2000,9.21,84.86,0
DivX,"DivX, Inc.",Hot Company,Entertainment,DIVX,2001,2000,9.21,84.86,0.1696
DivX,"DivX, Inc.",Hot Company,Entertainment,DIVX,2002,2000,9.21,84.86,3.213
DivX,"DivX, Inc.",Hot Company,Entertainment,DIVX,2003,2000,9.21,84.86,8.701
DivX,"DivX, Inc.",Hot Company,Entertainment,DIVX,2004,2000,9.21,84.86,18.532
DivX,"DivX, Inc.",Hot Company,Entertainment,DIVX,2005,2000,9.21,84.86,35.97
DivX,"DivX, Inc.",Hot Company,Entertainment,DIVX,2006,2000,9.21,84.86,63.451
International Game,International Game Technology,Hot Company,Entertainment,IGT,1971,1971,342.5,2528.6,0
International Game,International Game Technology,Hot Company,Entertainment,IGT,1972,1971,342.5,2528.6,
International Game,International Game Technology,Hot Company,Entertainment,IGT,1973,1971,342.5,2528.6,
International Game,International Game Technology,Hot Company,Entertainment,IGT,1974,1971,342.5,2528.6,
International Game,International Game Technology,Hot Company,Entertainment,IGT,1975,1971,342.5,2528.6,
International Game,International Game Technology,Hot Company,Entertainment,IGT,1976,1971,342.5,2528.6,1.87
International Game,International Game Technology,Hot Company,Entertainment,IGT,1977,1971,342.5,2528.6,9.828
International Game,International Game Technology,Hot Company,Entertainment,IGT,1978,1971,342.5,2528.6,29.43
International Game,International Game Technology,Hot Company,Entertainment,IGT,1979,1971,342.5,2528.6,55.084
International Game,International Game Technology,Hot Company,Entertainment,IGT,1980,1971,342.5,2528.6,103.458
International Game,International Game Technology,Hot Company,Entertainment,IGT,1981,1971,342.5,2528.6,
International Game,International Game Technology,Hot Company,Entertainment,IGT,1982,1971,342.5,2528.6,134.2
SuccessFactors,"SuccessFactors, Inc.",Hot Company,ERP,SFSF,2001,2001,-64.95,111.91,0
SuccessFactors,"SuccessFactors, Inc.",Hot Company,ERP,SFSF,2002,2001,-64.95,111.91,1.19
SuccessFactors,"SuccessFactors, Inc.",Hot Company,ERP,SFSF,2003,2001,-64.95,111.91,5.65
SuccessFactors,"SuccessFactors, Inc.",Hot Company,ERP,SFSF,2004,2001,-64.95,111.91,11.5452
SuccessFactors,"SuccessFactors, Inc.",Hot Company,ERP,SFSF,2005,2001,-64.95,111.91,14.2005
SuccessFactors,"SuccessFactors, Inc.",Hot Company,ERP,SFSF,2006,2001,-64.95,111.91,34.8499
SuccessFactors,"SuccessFactors, Inc.",Hot Company,ERP,SFSF,2007,2001,-64.95,111.91,65.832
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1990,1990,-2.9,178.57,0
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1990,1990,-2.9,178.57,1.6699
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1991,1990,-2.9,178.57,
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1991,1990,-2.9,178.57,3.106
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1992,1990,-2.9,178.57,
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1992,1990,-2.9,178.57,5.2178
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1993,1990,-2.9,178.57,12.6643
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1994,1990,-2.9,178.57,23.5733
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1995,1990,-2.9,178.57,57.156
Ultimate Software,"The Ultimate Software Group, Inc.",Hot Company,ERP,ULTI,1996,1990,-2.9,178.57,71.424
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,1993,1993,17.18,215.49,0
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,1994,1993,17.18,215.49,1.5215
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,1995,1993,17.18,215.49,2.9792
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,1996,1993,17.18,215.49,2.6642
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,1997,1993,17.18,215.49,11.0818
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,1998,1993,17.18,215.49,15.4638
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,1999,1993,17.18,215.49,48.384
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,2000,1993,17.18,215.49,47.864
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,2001,1993,17.18,215.49,48.434
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,2002,1993,17.18,215.49,53.669
Concur,"Concur Technologies, Inc.",Hot Company,ERP,CNQR,2003,1993,17.18,215.49,64.071
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,1993,1993,25.42,540.5,0
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,1994,1993,25.42,540.5,
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,1995,1993,25.42,540.5,
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,1996,1993,25.42,540.5,
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,1997,1993,25.42,540.5,
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,1998,1993,25.42,540.5,
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,1999,1993,25.42,540.5,
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,2000,1993,25.42,540.5,
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,2001,1993,25.42,540.5,97.6
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,2002,1993,25.42,540.5,104.958
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,2003,1993,25.42,540.5,155.036
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,2004,1993,25.42,540.5,188.823
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,2005,1993,25.42,540.5,230.862
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,2006,1993,25.42,540.5,323.675
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,2007,1993,25.42,540.5,437.216
SuperMicro,"Super Micro Computer, Inc.",Hot Company,Network / Infrastructure/ EAI,SMCI,2008,1993,25.42,540.5,540.5
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1981,1981,46.3,515.56,0
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1982,1981,46.3,515.56,
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1983,1981,46.3,515.56,
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1984,1981,46.3,515.56,
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1985,1981,46.3,515.56,5.94
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1986,1981,46.3,515.56,8.924
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1987,1981,46.3,515.56,11.407
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1988,1981,46.3,515.56,27.54
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1989,1981,46.3,515.56,43.516
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1990,1981,46.3,515.56,65.2
Progress,Progress Software Corporation,Hot Company,Network / Infrastructure/ EAI,PRGS,1991,1981,46.3,515.56,90.48
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1986,1986,39.11,624.16,0
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1989,1989,-25.83,134.05,0
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1987,1986,39.11,624.16,
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1990,1989,-25.83,134.05,
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1988,1986,39.11,624.16,
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1991,1989,-25.83,134.05,
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1989,1986,39.11,624.16,
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1992,1989,-25.83,134.05,
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1990,1986,39.11,624.16,4.727
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1993,1989,-25.83,134.05,16.9711
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1991,1986,39.11,624.16,7.176
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1994,1989,-25.83,134.05,23.9268
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1992,1986,39.11,624.16,7.6
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1995,1989,-25.83,134.05,32.6802
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1993,1986,39.11,624.16,7.938
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1996,1989,-25.83,134.05,32.6264
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1994,1986,39.11,624.16,12.87
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1997,1989,-25.83,134.05,37.9247
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1995,1986,39.11,624.16,29.4
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1998,1989,-25.83,134.05,42.504
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1996,1986,39.11,624.16,54.128
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,1999,1989,-25.83,134.05,50.816
Nice Systems,Nice Systems Ltd. (ADR),Hot Company,Network / Infrastructure/ EAI,NICE,1997,1986,39.11,624.16,92.46
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,2000,1989,-25.83,134.05,61.132
Echelon,Echelon Corporation,Hot Company,Network / Infrastructure/ EAI,ELON,2001,1989,-25.83,134.05,93.452
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1975,1975,17681,60420,0
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1976,1975,17681,60420,
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1977,1975,17681,60420,
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1978,1975,17681,60420,
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1979,1975,17681,60420,
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1980,1975,17681,60420,
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1981,1975,17681,60420,
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1982,1975,17681,60420,53.9
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1983,1975,17681,60420,106.5
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1984,1975,17681,60420,199.875
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1985,1975,17681,60420,277.992
Microsoft,Microsoft Corporation,Hot Company,Operating Systems,MSFT,1986,1975,17681,60420,383.15
RedHat,"Red Hat, Inc.",Hot Company,Operating Systems,RHT,1993,1993,76.67,523.02,0
RedHat,"Red Hat, Inc.",Hot Company,Operating Systems,RHT,1994,1993,76.67,523.02,
RedHat,"Red Hat, Inc.",Hot Company,Operating Systems,RHT,1995,1993,76.67,523.02,0.28
RedHat,"Red Hat, Inc.",Hot Company,Operating Systems,RHT,1996,1993,76.67,523.02,0.6555
